RECORD CODE,CLIENT TYPE,CLIENT NUMBER,ACCOUNT NUMBER,SUBACCOUNT NUMBER,OPPOSITE PARTY CODE,PRODUCT GROUP CODE,EXCHANGE CODE,SYMBOL,EXPIRATION DATE,CURRENCY CODE,MOVEMENT CODE,BUY SELL CODE,QUANTTTY LONG SIGN,QUANTITY LONG,QUANTITY SHORT SIGN,QUANTITY SHORT,EXCH/BROKER FEE / DEC,EXCH/BROKER FEE / DC,EXCH/BROKER FEE CUR CODE,CLEARING FEE / DEC,CLEARING FEE D C,CLEARING FEE CUR CODE,COMMISSION,COMMISSION D C,COMMISSION CUR CODE,TRANSACTION DATE,FUTURE REFERENCE,TICKET NUMBER,EXTERNAL NUMBER,TRANSACTION PRICE / DEC,TRADER INITIALS,OPPOSITE TRADER ID,OPEN CLOSE CODE
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000002," ",0000000000,000000000120,D,USD,000000000060,D,USD,000000000000,D,JPY,20100820,001574,"0     ",765033,000091850000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000002," ",0000000000,000000000120,D,USD,000000000060,D,USD,000000000000,D,JPY,20100820,001664,"0     ",766233,000091900000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000002," ",0000000000,000000000120,D,USD,000000000060,D,USD,000000000000,D,JPY,20100820,001734,"0     ",766603,000091800000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000002," ",0000000000,000000000120,D,USD,000000000060,D,USD,000000000000,D,JPY,20100820,004152,"0     ",782152,000092150000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000002," ",0000000000,000000000120,D,USD,000000000060,D,USD,000000000000,D,JPY,20100820,004154,"0     ",782204,000092150000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000002," ",0000000000,000000000120,D,USD,000000000060,D,USD,000000000000,D,JPY,20100820,004537,"0     ",786350,000092250000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000003," ",0000000000,000000000180,D,USD,000000000090,D,USD,000000000000,D,JPY,20100820,000839,"0     ",682088,000093050000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000003," ",0000000000,000000000180,D,USD,000000000090,D,USD,000000000000,D,JPY,20100820,001254,"0     ",688160,000092450000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000003," ",0000000000,000000000180,D,USD,000000000090,D,USD,000000000000,D,JPY,20100820,001663,"0     ",766231,000091900000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,000785,"0     ",681482,000093500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,000798,"0     ",681512,000093400000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,000807,"0     ",681562,000093200000000,"      ","       ",O
